INDV1	INDV2	RELATEDNESS
CHH876	Iinb1	0.0572692
CHH876	MNDM1	-0.263048
CHH876	MOS0106	-0.0643683
CHH876	MZS19	-0.065876
CHH876	SEG420	-0.0503781
CHH876	Spb09	-0.0350323
CHH876	Spb35	-0.0356588
CHH876	VOL39	-0.0886206
CHH876	VOL56	-0.105011
CHH876	VV2	-0.101939
CHH876	Xinb3	-0.0523231
CZN11	CZN11	1.11037
CZN11	FRC11	-0.0233827
CZN11	GBEL7568	0.0126924
CZN11	GRK1	-0.0335523
CZN11	HUH02	0.0467147
CZN11	ILM18	-0.0761448
CZN11	IRGG11	-0.0708994
CZN11	Iinb1	0.0701659
CZN11	MNDM1	-0.251315
CZN11	MOS0106	-0.0502407
CZN11	MZS19	-0.0509373
CZN11	SEG420	-0.0421189
CZN11	Spb09	-0.0187352
CZN11	Spb35	-0.017652
CZN11	VOL39	-0.0732833
CZN11	VOL56	-0.0741502
CZN11	VV2	-0.0743021
CZN11	Xinb3	-0.0382093
FRC11	FRC11	1.21153
FRC11	GBEL7568	0.0261105
FRC11	GRK1	-0.0258361
FRC11	HUH02	-0.0232259
FRC11	ILM18	-0.058964
FRC11	IRGG11	-0.086919
FRC11	Iinb1	-0.0322398
FRC11	MNDM1	-0.223194
FRC11	MOS0106	-0.0963938
FRC11	MZS19	-0.094045
FRC11	SEG420	-0.075823
FRC11	Spb09	-0.0627705
FRC11	Spb35	-0.0578222
FRC11	VOL39	-0.108065
FRC11	VOL56	-0.120148
FRC11	VV2	-0.119162
FRC11	Xinb3	-0.0831814
GBEL7568	GBEL7568	1.2282
GBEL7568	GRK1	-0.0618514
GBEL7568	HUH02	-0.0213793
GBEL7568	ILM18	-0.0867695
GBEL7568	IRGG11	-0.0978455
GBEL7568	Iinb1	-0.00941865
GBEL7568	MNDM1	-0.250537
GBEL7568	MOS0106	-0.0762455
GBEL7568	MZS19	-0.0852403
GBEL7568	SEG420	-0.0549035
GBEL7568	Spb09	-0.0427627
GBEL7568	Spb35	-0.0413944
GBEL7568	VOL39	-0.104718
GBEL7568	VOL56	-0.1098
GBEL7568	VV2	-0.107822
GBEL7568	Xinb3	-0.0626453
GRK1	GRK1	1.23941
GRK1	HUH02	0.0170202
GRK1	ILM18	-0.0348094
GRK1	IRGG11	-0.0450367
GRK1	Iinb1	-0.037325
GRK1	MNDM1	-0.209626
GRK1	MOS0106	-0.0703391
GRK1	MZS19	-0.065602
GRK1	SEG420	-0.0849975
GRK1	Spb09	-0.0594593
GRK1	Spb35	-0.0599527
GRK1	VOL39	-0.0553241
GRK1	VOL56	-0.0680253
GRK1	VV2	-0.0699529
GRK1	Xinb3	-0.0800581
HUH02	HUH02	1.08467
HUH02	ILM18	-0.0497779
HUH02	IRGG11	-0.0574444
HUH02	Iinb1	0.043161
HUH02	MNDM1	-0.246944
HUH02	MOS0106	-0.0592021
HUH02	MZS19	-0.0679893
HUH02	SEG420	-0.0550314
HUH02	Spb09	-0.029694
HUH02	Spb35	-0.0288559
HUH02	VOL39	-0.0517539
HUH02	VOL56	-0.0625298
HUH02	VV2	-0.0678024
HUH02	Xinb3	-0.0654277
ILM18	ILM18	1.54325
ILM18	IRGG11	-0.013717
ILM18	Iinb1	-0.0796916
ILM18	MNDM1	-0.23986
ILM18	MOS0106	-0.0758516
ILM18	MZS19	-0.075134
ILM18	SEG420	-0.102809
ILM18	Spb09	-0.0888169
ILM18	Spb35	-0.0890318
ILM18	VOL39	-0.0679884
ILM18	VOL56	-0.0836051
ILM18	VV2	-0.0855181
ILM18	Xinb3	-0.103099
IRGG11	IRGG11	1.34327
IRGG11	Iinb1	-0.0794513
IRGG11	MNDM1	-0.207728
IRGG11	MOS0106	-0.0563094
IRGG11	MZS19	-0.0597538
IRGG11	SEG420	-0.0892079
IRGG11	Spb09	-0.0881574
IRGG11	Spb35	-0.0838908
IRGG11	VOL39	-0.0239585
IRGG11	VOL56	-0.0309728
IRGG11	VV2	-0.0441644
IRGG11	Xinb3	-0.0882122
Iinb1	Iinb1	1.39581
Iinb1	MNDM1	-0.264995
Iinb1	MOS0106	-0.0570051
Iinb1	MZS19	-0.0562925
Iinb1	SEG420	-0.0413772
Iinb1	Spb09	-0.0204918
Iinb1	Spb35	-0.0221004
Iinb1	VOL39	-0.0943461
Iinb1	VOL56	-0.0858087
Iinb1	VV2	-0.0829279
Iinb1	Xinb3	-0.0518779
MNDM1	MNDM1	2.69231
MNDM1	MOS0106	-0.251095
MNDM1	MZS19	-0.251085
MNDM1	SEG420	-0.269709
MNDM1	Spb09	-0.2527
MNDM1	Spb35	-0.260034
MNDM1	VOL39	-0.207759
MNDM1	VOL56	-0.186722
MNDM1	VV2	-0.214689
MNDM1	Xinb3	-0.255812
MOS0106	MOS0106	1.15197
MOS0106	MZS19	0.408939
MOS0106	SEG420	-0.0566779
MOS0106	Spb09	-0.0479786
MOS0106	Spb35	-0.0612174
MOS0106	VOL39	-0.0288904
MOS0106	VOL56	-0.0241838
MOS0106	VV2	-0.0143694
MOS0106	Xinb3	-0.059238
MZS19	MZS19	1.1572
MZS19	SEG420	-0.0522905
MZS19	Spb09	-0.0489021
MZS19	Spb35	-0.0568567
MZS19	VOL39	-0.0302059
MZS19	VOL56	-0.0294157
MZS19	VV2	-0.0212313
MZS19	Xinb3	-0.0528784
SEG420	SEG420	1.51672
SEG420	Spb09	-0.0281738
SEG420	Spb35	-0.0242136
SEG420	VOL39	-0.0794115
SEG420	VOL56	-0.0821292
SEG420	VV2	-0.0753472
SEG420	Xinb3	0.359479
Spb09	Spb09	1.22637
Spb09	Spb35	0.472233
Spb09	VOL39	-0.0845513
Spb09	VOL56	-0.0965077
Spb09	VV2	-0.0904822
Spb09	Xinb3	-0.0205117
Spb35	Spb35	1.22134
Spb35	VOL39	-0.0771386
Spb35	VOL56	-0.0900013
Spb35	VV2	-0.0829107
Spb35	Xinb3	-0.0112071
VOL39	VOL39	1.09752
VOL39	VOL56	0.21114
VOL39	VV2	0.250284
VOL39	Xinb3	-0.0717021
VOL56	VOL56	1.05258
VOL56	VV2	0.403578
VOL56	Xinb3	-0.0801695
VV2	VV2	1.06613
VV2	Xinb3	-0.0791703
Xinb3	Xinb3	1.51404
