INDV1	INDV2	RELATEDNESS
CHH876	MOS0106	-0.0953549
CHH876	MZS19	-0.097662
CHH876	SEG420	-0.0797756
CHH876	Spb09	-0.059591
CHH876	Spb35	-0.0602865
CHH876	VOL39	-0.118033
CHH876	VOL56	-0.139059
CHH876	VV2	-0.13584
CHH876	Xinb3	-0.079755
CZN11	CZN11	1.11983
CZN11	FRC11	-0.0490532
CZN11	GBEL7568	-0.000160388
CZN11	GRK1	-0.054291
CZN11	HUH02	0.0371066
CZN11	IRGG11	-0.0956435
CZN11	Iinb1	0.0620665
CZN11	MOS0106	-0.0789445
CZN11	MZS19	-0.0800037
CZN11	SEG420	-0.0666761
CZN11	Spb09	-0.0438305
CZN11	Spb35	-0.0426209
CZN11	VOL39	-0.103213
CZN11	VOL56	-0.104052
CZN11	VV2	-0.104227
CZN11	Xinb3	-0.0643087
FRC11	FRC11	1.24791
FRC11	GBEL7568	0.0129747
FRC11	GRK1	-0.04189
FRC11	HUH02	-0.0418665
FRC11	IRGG11	-0.112557
FRC11	Iinb1	-0.0498667
FRC11	MOS0106	-0.129019
FRC11	MZS19	-0.127183
FRC11	SEG420	-0.105874
FRC11	Spb09	-0.0871821
FRC11	Spb35	-0.0804593
FRC11	VOL39	-0.140898
FRC11	VOL56	-0.156677
FRC11	VV2	-0.153738
FRC11	Xinb3	-0.115436
GBEL7568	GBEL7568	1.25884
GBEL7568	GRK1	-0.0879886
GBEL7568	HUH02	-0.04007
GBEL7568	IRGG11	-0.126729
GBEL7568	Iinb1	-0.0321839
GBEL7568	MOS0106	-0.108709
GBEL7568	MZS19	-0.118839
GBEL7568	SEG420	-0.0835913
GBEL7568	Spb09	-0.0678096
GBEL7568	Spb35	-0.0703341
GBEL7568	VOL39	-0.138536
GBEL7568	VOL56	-0.143349
GBEL7568	VV2	-0.142716
GBEL7568	Xinb3	-0.0914275
GRK1	GRK1	1.27796
GRK1	HUH02	0.00932175
GRK1	IRGG11	-0.0651251
GRK1	Iinb1	-0.0552324
GRK1	MOS0106	-0.0989109
GRK1	MZS19	-0.0921987
GRK1	SEG420	-0.115281
GRK1	Spb09	-0.0828594
GRK1	Spb35	-0.0825544
GRK1	VOL39	-0.0795972
GRK1	VOL56	-0.0956899
GRK1	VV2	-0.0998076
GRK1	Xinb3	-0.108551
HUH02	HUH02	1.09235
HUH02	IRGG11	-0.0801896
HUH02	Iinb1	0.0358839
HUH02	MOS0106	-0.0847795
HUH02	MZS19	-0.0943079
HUH02	SEG420	-0.0843931
HUH02	Spb09	-0.0515277
HUH02	Spb35	-0.0510614
HUH02	VOL39	-0.0752692
HUH02	VOL56	-0.0869524
HUH02	VV2	-0.0943275
HUH02	Xinb3	-0.0961699
IRGG11	IRGG11	1.40216
IRGG11	Iinb1	-0.109158
IRGG11	MOS0106	-0.0798292
IRGG11	MZS19	-0.08402
IRGG11	SEG420	-0.12036
IRGG11	Spb09	-0.117449
IRGG11	Spb35	-0.112941
IRGG11	VOL39	-0.0396661
IRGG11	VOL56	-0.0456755
IRGG11	VV2	-0.0666723
IRGG11	Xinb3	-0.11617
Iinb1	Iinb1	1.45172
Iinb1	MOS0106	-0.0862885
Iinb1	MZS19	-0.0854021
Iinb1	SEG420	-0.0691955
Iinb1	Spb09	-0.0438236
Iinb1	Spb35	-0.0467333
Iinb1	VOL39	-0.129683
Iinb1	VOL56	-0.117603
Iinb1	VV2	-0.116008
Iinb1	Xinb3	-0.0809853
MOS0106	MOS0106	1.17033
MOS0106	MZS19	0.456983
MOS0106	SEG420	-0.0885114
MOS0106	Spb09	-0.0715177
MOS0106	Spb35	-0.0951915
MOS0106	VOL39	-0.0479412
MOS0106	VOL56	-0.0429079
MOS0106	VV2	-0.0360027
MOS0106	Xinb3	-0.0887229
MZS19	MZS19	1.17102
MZS19	SEG420	-0.0828621
MZS19	Spb09	-0.078512
MZS19	Spb35	-0.0856441
MZS19	VOL39	-0.0504447
MZS19	VOL56	-0.05038
MZS19	VV2	-0.0414134
MZS19	Xinb3	-0.0813885
SEG420	SEG420	1.58689
SEG420	Spb09	-0.0488019
SEG420	Spb35	-0.0450868
SEG420	VOL39	-0.109112
SEG420	VOL56	-0.113921
SEG420	VV2	-0.107514
SEG420	Xinb3	0.390411
Spb09	Spb09	1.25947
Spb09	Spb35	0.535131
Spb09	VOL39	-0.115322
Spb09	VOL56	-0.129346
Spb09	VV2	-0.124963
Spb09	Xinb3	-0.0454333
Spb35	Spb35	1.25362
Spb35	VOL39	-0.107256
Spb35	VOL56	-0.121317
Spb35	VV2	-0.112729
Spb35	Xinb3	-0.035419
VOL39	VOL39	1.10889
VOL39	VOL56	0.232904
VOL39	VV2	0.287318
VOL39	Xinb3	-0.0989015
VOL56	VOL56	1.05692
VOL56	VV2	0.458231
VOL56	Xinb3	-0.110265
VV2	VV2	1.07316
VV2	Xinb3	-0.11153
Xinb3	Xinb3	1.5926
